id,title,order_index
101,Unidad 1: Identidad y Entorno (A1),1
102,Unidad 2: Vida Diaria y Rutinas (A1),2
103,Unidad 3: Acciones en Progreso y Habilidades (A1-A2),3
104,Unidad 4: Narración y Pasado (A2),4
105,Unidad 5: Comparaciones y Futuro (A2),5
106,Unidad 6: Modales y Estructuras de Apoyo (A2),6
107,Unidad 7: Experiencias y Resultados (B1),7
108,Unidad 8: Estructuras Avanzadas de Secundaria (B1),8
109,Unidad 9: Tiempos Perfectos y Futuros Avanzados (B1+),9
110,Unidad 10: Hipótesis y Deseos (B2),10
111,Unidad 11: Voz Pasiva y Reporte (B2),11
112,Unidad 12: Estilo y Cohesión (B2+),12
113,Unidad 13: Matices y Estructuras Complejas (C1),13
114,"Unidad 14: Énfasis, Estilo y Retórica (C1-C2)",14
115,Unidad 15: Inglés Especializado (C2),15
